Sentence,Label
Media frequenza ultimi sei mesi,Richiesta
Qual è la mia media di pressione sanguigna degli ultimi nove mesi?,Richiesta
Vorrei dare un’occhiata a tutte le letture che ho inserito.,Richiesta
Media frequenza ultime 24 ore,Richiesta
Dammi il grafico con andamento di pressione arteriosa nell'ultima settimana,Richiesta
Posso avere la media delle mie misurazioni di ieri?,Richiesta
Dammi il valor medio di pressione nell'ultima settimana,Richiesta
Posso avere la media delle mie misurazioni degli ultimi nove mesi?,Richiesta
Media frequenza ultimi 7 giorni,Richiesta
Vorrei vedere un elenco di tutte le informazioni che ho fornito in passato.,Richiesta
Media frequenza anno scorso,Richiesta
Mostra tutte le mie misurazioni tramite un grafico?,Richiesta
Desidero visualizzare i miei dati sulla frequenza cardiaca delle 4 settimane precedenti.,Richiesta
Posso avere un riepilogo di tutte le informazioni che ho dato in passato?,Richiesta
Media dei miei dati,Richiesta
Dammi il grafico sulla pressione,Richiesta
Dammi le medie dell'ultimo mese,Richiesta
Potresti mostrarmi le mie misurazioni della frequenza cardiaca dell’ultima settimana?,Richiesta
Dammi il grafico sulla pressione,Richiesta
Posso avere un riepilogo di tutte le generalità che ho dato finora?,Richiesta
Potresti mostrarmi tutte le mie letture che hai registrato?,Richiesta
Media pressione ultime due settimane,Richiesta
Mi piacerebbe controllare le ultime letture del battito cardiaco che ho registrato nell’ultima settimana.,Richiesta
Desidero visualizzare i miei dati sulla frequenza cardiaca delle 4 settimane precedenti.,Richiesta
Media pressione,Richiesta
Informazioni personali,Richiesta
Mi elenchi le mie informazioni personali?,Richiesta
Vorrei vedere le misurazioni che ho registrato nell’ultimo mese.,Richiesta
Desidero consultare le mie letture più recenti.,Richiesta
Mi piacerebbe esaminare i dati più recenti che ho registrato.,Richiesta
Qual è la mia media di pressione sanguigna e frequenza cardiaca degli ultimi 7 giorni?,Richiesta
Media frequenza ultime quattro settimane,Richiesta
Qual è la mia media di pressione sanguigna di questa settimana?,Richiesta
Qual è la mia media di pressione sanguigna degli ultimi 365 giorni?,Richiesta
Qual è la mia media di frequenza cardiaca di ieri?,Richiesta
mostra i dati su frequenza e pressione più recenti,Richiesta
Posso vedere un riassunto dei miei dati inseriti su di me in passato?,Richiesta
Voglio i dati registrati sulla pressione,Richiesta
