"Sentence","Label"
"Alla prossima, assistente! Non vedo l’ora di continuare a lavorare con te sulla mia ipertensione.","Generale"
"Vorrei i dati dell’ultima settimana","Richiesta"
"Media frequenza anno scorso","Richiesta"
"Desidero visualizzare le mie letture dell’ultima settimana.","Richiesta"
"Pressione misurata è di 135/85 e la mia frequenza cardiaca è 72.","inserimentoDatiTotali"
"Qual è un buon stile di vita che abbassa il rischio di sviluppare ipertensione?","Generale"
"ho avuto un episodio di sudorazione eccessiva la scorsa notte.","inserimentoDatiGenerali"
"Posso avere la media delle mie misurazioni delle ultime 24 ore?","Richiesta"
"oggi ho mangiato un buon piatto di pasta","Generale"
"Qual è la mia media di frequenza cardiaca degli ultimi sei mesi?","Richiesta"
"Ho notato che la mia frequenza è di 73 bpm.","inserimentoDatiFrequenza"
"Ho misurato i miei dati: sistolica 120, diastolica 80 e frequenza cardiaca 75","inserimentoDatiTotali"
"Ultimo dato inserito sulla frequenza","Richiesta"
"Potrei controllare tutte le misurazioni della pressione che ho registrato?","Richiesta"
"Potresti mostrarmi le mie misurazioni della pressione sanguigna dell’ultima settimana?","Richiesta"
"come l’esercizio fisico può aiutare a gestire il mio diabete?","Generale"
"quali sono i fattori di rischio per l’osteoporosi?","Generale"
"Fortunatamente mi sento stabile.","Umore"
"Sto cercando di dormire almeno 8 ore a notte per mantenere la mia pressione sanguigna sotto controllo.","inserimentoDatiGenerali"
"Ho iniziato a fare stretching regolare per aiutare a gestire lo stress.","inserimentoDatiGenerali"
"La mia pressione è 140/70","inserimentoDatiPressione"
"addio, assistente! sono grato per il tuo sostegno nel mio viaggio con l’ipertensione.","Generale"
"La mia pressione sanguigna è 120/80.","inserimentoDatiPressione"
"Vorrei dare un’occhiata a tutte le letture che ho inserito.","Richiesta"
"ho iniziato a fare stretching regolare per aiutare a gestire lo stress.","inserimentoDatiGenerali"
"come la razza può influenzare il mio rischio di malattie cardiache?","Generale"
"Ho notato che la mia pressione sanguigna aumenta quando sono nervoso.","inserimentoDatiGenerali"
"Ho avuto una settimana molto tranquilla e la mia pressione sanguigna è rimasta stabile.","Umore"
"Sono una persona che fuma molto","inserimentoDatiGenerali"
"sono molto stressato a causa della mia pressione alta.","Umore"
"Ho notato che la mia pressione sanguigna aumenta quando faccio esercizio fisico.","inserimentoDatiGenerali"
"Vorrei vedere un elenco di tutte le informazioni che ho fornito in passato.","Richiesta"
"è possibile fornirti le misurazioni su pressione e frequenza?","Generale"
"Hai mai pensato di fare un viaggio in mongolfiera?","Generale"
"Mi sento un po' strano, quali sono i miei dati più recenti?","Richiesta"
"Desidero consultare tutte le mie letture registrate.","Richiesta"
"Come posso prevenire le malattie cardiache?","Generale"
"Posso avere un riepilogo di tutte le informazioni che ho dato recentemente?","Richiesta"
"la mia pressione sanguigna attuale è 125/80.","inserimentoDatiPressione"
"Mangio le torte tutti i giorni","inserimentoDatiGenerali"
"Mi dici quelle quali sono state le informazioni che ti ho fornito su di me?","Richiesta"
