Potrei vedere tutte le misurazioni della frequenza cardiaca che ho registrato?,richiestaDatFreq
come una dieta sana può aiutare a gestire l’ipertensione?,spiegazioni
Qual è la mia media di pressione sanguigna di questo mese?,richiestaMediaPress
Potresti aggiungere le mie recenti letture della pressione arteriosa al mio profilo?,richiestaInsDati
grazie delle informazioni,saluti
mi sento molto rilassato riguardo alla mia pressione alta.,pazienteSereno
Come posso gestire il mio diabete?,fuoriContMed
Ho registrato un valore di pressione sanguigna e frequenza cardiaca di 140/90 mmHg e 75 bpm oggi.,inserDatiTot
Media pressione ultimi due anni,richiestaMediaPress
La mia pressione sanguigna è 125/80.,inserDatiPress
Posso inserire i dati della mia pressione sanguigna di stasera?,richiestaInsDati
ho iniziato a fare passeggiate regolari per aiutare a gestire la mia ipertensione.,inserDatiGener
"Ciao, assistente! Spero che tu possa darmi qualche suggerimento su come gestire la mia ipertensione.",saluti
Sono molto stressato a causa della mia ipertensione.,pazienAllarmato
"addio, assistente! sono grato per il tuo sostegno nel mio viaggio con l’ipertensione.",saluti
La mia pressione oggi è .../...,inserDatiPress
come il fumo può influenzare l’ipertensione?,spiegazioni
Media pressione scorsa settimana,richiestaMediaPress
hai mai provato a fare paracadutismo?,fuoriCont
Media frequenza ultime 24 ore,richiestaMediaFreq
Ho paura che la mia pressione alta possa causare un attacco di cuore.,pazienAllarmato
"ciao, assistente! sono pronto per un altro giorno di successi nella gestione della mia ipertensione.",saluti
quali sono i sintomi della depressione?,fuoriContMed
Qual è la mia media di pressione sanguigna e frequenza cardiaca di questo mese?,richiestaMediaTot
"Buongiorno, mi annoio",saluti
"A presto, assistente! Spero tu possa continuare ad aiutarmi a gestire la mia ipertensione.",saluti
X,inserDatiFreq
La mia pressione sanguigna è X/Y e la mia frequenza cardiaca è 68.,inserDatiTot
sono molto nervoso per la mia ipertensione.,pazienAllarmato
mi fornisci un grafico contenente tutti i dati sulla pressione e sulla frequenza,richiestaDatTot
Ricordami l'ultima misurazione inserita sulla pressione?,richiestaDatPress
Potresti mostrarmi tutte le mie letture che hai registrato?,richiestaDatTot
Qual è la mia media di pressione sanguigna e frequenza cardiaca degli ultimi 365 giorni?,richiestaMediaTot
Media pressione ultimi nove mesi,richiestaMediaPress
Vorrei vedere le letture della pressione che ho registrato nell’ultima settimana.,richiestaDatPress
Media pressione questo mese,richiestaMediaPress
Vorrei dare un’occhiata alle ultime letture della pressione che ho inserito.,richiestaDatPress
La mia pressione oggi è 140/90.,inserDatiPress
Media frequenza ultimi nove mesi,richiestaMediaFreq
ho iniziato a fare esercizio fisico regolarmente.,inserDatiGener
Vorrei vedere l’ultima lettura della frequenza che ho registrato.,richiestaDatFreq
posso aggiungere i dati della mia pressione sanguigna di domani?,richiestaInsDati
Quali esami diagnostici dovrei fare per valutare il mio stato di salute associato all'ipertensione?,spiegazioni
"Buonasera, assistente! Spero tu possa aiutarmi a capire meglio la mia ipertensione.",saluti
"buonanotte, assistente! grazie per avermi aiutato a capire meglio la mia ipertensione.",saluti
Qual è la mia media di pressione sanguigna e frequenza cardiaca di quest’anno?,richiestaMediaTot
Qual è la mia media di pressione sanguigna e frequenza cardiaca del mese scorso?,richiestaMediaTot
Qual è la mia media di pressione sanguigna di ieri?,richiestaMediaPress
la mia pressione sanguigna è 125/80 e la mia frequenza cardiaca è 68.,inserDatiTot
La mia ultima lettura della pressione sanguigna e della frequenza cardiaca era di 130/85 mmHg e 68 bpm.,inserDatiTot
Qual è la mia media di pressione sanguigna di questa settimana?,richiestaMediaPress
"Ho appena fatto un controllo, la mia pressione è 135/85.",inserDatiPress
ho misurato la frequenza ed è di 80,inserDatiFreq
Potresti mostrarmi le mie misurazioni della frequenza cardiaca dell’ultimo mese?,richiestaDatFreq
Qual è la media delle mie misurazioni degli ultimi 365 giorni?,richiestaMediaTot
ho paura che la mia ipertensione possa causare problemi di memoria.,pazienAllarmato
come il fumo può influenzare le mie malattie cardiache?,fuoriContMed
Qual è la mia media di frequenza cardiaca degli ultimi 30 giorni?,richiestaMediaFreq
Potrei controllare le misurazioni dei sette giorni precedenti?,richiestaDatTot
Ho accompagnato i miei figli a scuola.,fuoriCont
quali sono i rischi per la salute associati all’obesità?,fuoriContMed
posso inserire i dati della mia pressione sanguigna di ieri?,richiestaInsDati
Come viene diagnosticato il cancro al seno?,fuoriContMed
Media pressione ultime due settimane,richiestaMediaPress
la mia pressione oggi è 120/80 e la mia frequenza cardiaca è 72.,inserDatiTot
Ho un forte dolore al collo.,fuoriContMed
Posso avere un elenco di tutte le informazioni che ho inserito recentemente?,richiestaDatGener
Vorrei dare un’occhiata alle ultime letture della pressione che ho inserito nell’ultima settimana.,richiestaDatPress
hai mai pensato di fare un viaggio in mongolfiera?,fuoriCont
la mia pressione sanguigna è 120/80.,inserDatiPress
Ho paura che la mia pressione alta possa causare problemi seri.,pazienAllarmato
Mi piacerebbe controllare le ultime letture del battito cardiaco che ho registrato nell’ultima settimana.,richiestaDatFreq
come l’alcol può influenzare l’ipertensione?,spiegazioni
"a presto, assistente! sono pronto per un altro giorno di successi nella gestione della mia ipertensione.",saluti
posso aggiungere i dati della mia pressione sanguigna di questa mattina?,richiestaInsDati
Mi piacerebbe controllare le ultime letture della pressione che ho registrato nell’ultima settimana.,richiestaDatPress
Posso vedere la media delle mie misurazioni del mese scorso?,richiestaMediaTot
La mia ultima misurazione mostra una frequenza cardiaca di 70 bpm.,inserDatiFreq
Posso vedere la media delle mie misurazioni di questo mese?,richiestaMediaTot
Posso aggiungere i dati della mia pressione sanguigna di quest’anno?,richiestaInsDati
Vorrei vedere tutte le generalità che ho dato.,richiestaDatGener
Il mio battito cardiaco è 72 battiti al minuto.,inserDatiFreq
Qual è la mia ultima misurazione della pressione?,richiestaDatPress
ho paura che la mia pressione alta possa causare problemi di sonno.,pazienAllarmato
Quali sono i miei dati più recenti sulla pressione sanguigna?,richiestaDatPress
ho iniziato a fare stretching regolare per aiutare a gestire lo stress.,inserDatiGener
Ho male alla gamba,fuoriContMed
Mi piacerebbe esaminare i dati sulla pressione che ho registrato nell’ultimo mese.,richiestaDatPress
vorrei inserire i dati del mio monitoraggio della pressione sanguigna di questa settimana.,richiestaInsDati
ho paura che la mia ipertensione possa causare problemi di concentrazione.,pazienAllarmato
La mia pressione oggi è 120/80 e la mia frequenza cardiaca è 72.,inserDatiTot
Misurazioni della pressione dell’ultimo mese?,richiestaDatPress
"ho appena controllato, la mia pressione è 140/85.",inserDatiPress
quale è la tua canzone preferita al momento?,fuoriCont
voglia sia i dati sulla frequenza che sulla pressione,richiestaDatTot
Ultima misurazione,richiestaDatTot
Posso avere un elenco di tutte le informazioni che ho fornito?,richiestaDatGener
quali cambiamenti nello stile di vita posso fare per gestire il mio colesterolo alto?,fuoriContMed
Qual è il dato più recente,richiestaDatTot
sono molto stressato a causa della mia ipertensione.,pazienAllarmato
Sto cercando di dormire almeno 8 ore a notte per mantenere la mia pressione sanguigna sotto controllo.,inserDatiGener
La mia frequenza cardiaca oggi è ...bpm.,inserDatiFreq
sono molto pacifico riguardo alla mia ipertensione.,pazienteSereno
Posso vedere un riassunto dei miei dati inseriti su di me in passato?,richiestaDatGener
Bevo alcol solo con moderazione per evitare picchi di pressione sanguigna.,inserDatiGener
Desidero visualizzare i miei dati sulla frequenza cardiaca delle 4 settimane precedenti.,richiestaDatFreq
Vorrei rivedere tutti i dati sulla frequenza  che ho inserito.,richiestaDatFreq
mi dici a cosa serve misurare la frequenza?,spiegazioni
Vorrei inserire le misurazioni fatte,richiestaInsDati
posso registrare i dati della mia frequenza cardiaca di stasera?,richiestaInsDati
Media pressione ultimi 7 giorni,richiestaMediaPress
Ho appena controllato e la mia pressione sanguigna e frequenza cardiaca sono di 130/75 mmHg e 69 bpm.,inserDatiTot
Qual è l'andamento delle misurazioni sulla pressione?,richiestaDatPress
vorrei registrare i miei sintomi di oggi.,richiestaInsDati
Potresti mostrarmi le mie misurazioni della frequenza cardiaca dell’ultima settimana?,richiestaDatFreq
Potrei vedere le ultime misurazioni della pressione che ho registrato nell’ultimo mese?,richiestaDatPress
La mia pressione sanguigna è 120/80.,inserDatiPress
X su Y,inserDatiPress
sono molto stressato per i miei livelli di pressione sanguigna.,pazienAllarmato
vorrei aggiungere i dettagli sulla mia alimentazione.,richiestaInsDati
che tipo di musica ti piace ascoltare?,fuoriCont
La mia pressione sanguigna è X/Y e il mio battito cardiaco è 75.,inserDatiTot
non sono stressato per la mia ipertensione.,pazienteSereno
Posso avere la media delle mie misurazioni di oggi?,richiestaMediaTot
Ho smesso di fumare da un mese.,inserDatiGener
Qual è la mia media di pressione sanguigna e frequenza cardiaca degli ultimi dodici mesi?,richiestaMediaTot
Ultimo dato inserito sulla frequenza,richiestaDatFreq
Ho avuto un episodio di mancanza di respiro ieri.,inserDatiGener
Potresti mostrarmi le mie misurazioni della pressione dell’ultima settimana?,richiestaDatPress
Ho appena controllato e la mia pressione sanguigna è di 130/75 mmHg.,inserDatiPress
Desidero visualizzare il mio dato più recente sulla frequenza cardiaca.,richiestaDatFreq
ecco i dati registrati. Pressione 120/80 e frequenza 77,inserDatiTot
"buonasera, assistente! spero che tu possa aiutarmi a capire meglio la mia ipertensione.",saluti
Media frequenza anno scorso,richiestaMediaFreq
Vorrei dare un’occhiata alle ultime letture della frequenza cardiaca che ho inserito nell’ultimo mese.,richiestaDatFreq
La mia pressione sanguigna attuale è 125/80 e la mia frequenza cardiaca è 68.,inserDatiTot
voglio registrare i miei dati misurati. La pressione è di 120/80 mentre la frequenza 80bpm,inserDatiTot
Non ricordo le statistiche degli ultimi sette giorni,richiestaDatTot
come il sale può influenzare la mia pressione sanguigna?,spiegazioni
non ho paura della mia pressione alta.,pazienteSereno
come il caffè può influenzare l’ipertensione?,spiegazioni
Desidero visualizzare i miei dati più recenti.,richiestaDatTot
Qual è la mia media di frequenza cardiaca delle ultime due settimane?,richiestaMediaFreq
Vorrei vedere un elenco di tutte le informazioni che ho dato.,richiestaDatGener
Potresti mostrarmi le mie misurazioni della pressione dell’ultimo mese?,richiestaDatPress
posso registrare i dettagli del mio consumo di tabacco?,richiestaInsDati
Ho smesso di bere alcol da due settimane.,inserDatiGener
Potrei controllare le ultime misurazioni della pressione che ho registrato?,richiestaDatPress
Sono preoccupato per i miei livelli di pressione sanguigna.,pazienAllarmato
ho avuto un attacco di panico ieri sera.,inserDatiGener
"Ho misurato i miei dati: sistolica 120, diastolica 80 e frequenza cardiaca 75",inserDatiTot
registrami questa frequenza. Il valore è di 85,inserDatiFreq
120 78,inserDatiPress
Desidero consultare tutte le mie letture registrate.,richiestaDatTot
come l’età può influenzare la mia memoria?,fuoriContMed
Desidero consultare tutte le mie letture della pressione.,richiestaDatPress
come l’ambiente può influenzare la mia asma?,fuoriContMed
Potresti spiegarmi cosa significa avere la pressione alta?,spiegazioni
Mi piacerebbe esaminare i dati più recenti che ho registrato.,richiestaDatTot
"ho appena misurato la mia pressione, è 130/85 e il mio battito cardiaco è 75.",inserDatiTot
"ciao, assistente! spero che tu possa darmi qualche consiglio utile per la mia ipertensione oggi.",saluti
Ho avuto problemi di vista.,fuoriContMed
Sono molto preoccupato per i miei livelli di pressione sanguigna.,pazienAllarmato
Vorrei vedere tutte le informazioni che ho dato finora.,richiestaDatGener
come l’alcol può influenzare il mio fegato?,fuoriContMed
Posso vedere un riassunto di tutte le informazioni che ho fornito recentemente?,richiestaDatGener
Qual è la mia media di pressione sanguigna degli ultimi dodici mesi?,richiestaMediaPress
La mia ultima misurazione mostra una pressione sanguigna e frequenza cardiaca di 135/85 mmHg e 70 bpm.,inserDatiTot
Vorrei vedere tutte le informazioni che ho condiviso.,richiestaDatGener
Ho tutti i dolori del mondo,fuoriContMed
Posso avere la media delle mie misurazioni delle ultime due settimane?,richiestaMediaTot
Vorrei vedere le misurazioni che ho registrato nell’ultima settimana.,richiestaDatTot
Qual è la mia media di pressione sanguigna e frequenza cardiaca degli ultimi tre anni?,richiestaMediaTot
Vorrei dare un’occhiata alle misurazioni che ho fatto nell’ultimo mese.,richiestaDatTot
Mostrami le statistiche,richiestaDatTot
78 125,inserDatiPress
Qual è la mia media di pressione sanguigna e frequenza cardiaca della scorsa settimana?,richiestaMediaTot
Posso registrare i dati della mia frequenza cardiaca di questo mese?,richiestaInsDati
quale è la tua città preferita in italia?,fuoriCont
Vorrei rivedere i dati sulla frequenza  che ho inserito nell’ultimo mese.,richiestaDatFreq
ho paura che la mia pressione alta possa causare un ictus.,pazienAllarmato
Voglio i dati della frequenza cardiaca dell’ultimo mese,richiestaDatFreq
Qual è la mia media di frequenza cardiaca degli ultimi due anni?,richiestaMediaFreq
"La mia frequenza cardiaca è di 70 bpm, secondo l’ultima misurazione.",inserDatiFreq
Qual è la mia media di frequenza cardiaca di oggi?,richiestaMediaFreq
Media frequenza ultimi tre anni,richiestaMediaFreq
Ho avuto un raffreddore che non sembra migliorare.,fuoriContMed
Ho avuto un episodio di tachicardia la scorsa notte.,inserDatiGener
Quali sono i trattamenti disponibili per l’ipertensione?,spiegazioni
Desidero visualizzare le mie letture dell’ultimo mese.,richiestaDatTot
Potrei controllare l’ultima misurazione della frequenza cardiaca che ho registrato?,richiestaDatFreq
Non ho paura della mia pressione alta.,pazienteSereno
Media pressione ultimi 30 giorni,richiestaMediaPress
La mia frequenza cardiaca oggi è 75 bpm.,inserDatiFreq
la mia pressione sanguigna è 130/85.,inserDatiPress
Ho bisogno di documentare le mie ultime letture della pressione sanguigna.,richiestaInsDati
"buonasera, assistente! sono pronto per rilassarmi e riflettere sulla mia giornata con l’ipertensione.",saluti
la mia pressione sanguigna è 130/80.,inserDatiPress
"Salve, come puoi aiutarmi?",saluti
Mostrami con un immagine i valori sulla mia pressione?,richiestaDatPress
Vorrei vedere le letture più recenti della pressione che ho registrato.,richiestaDatPress
"Buonasera, assistente! Spero che tu possa aiutarmi a capire meglio la mia ipertensione.",saluti
come la gravidanza può influenzare la mia tiroide?,fuoriContMed
ho notato che la mia pressione sanguigna aumenta quando faccio esercizio fisico.,inserDatiGener
Potrei vedere l’ultima misurazione del ritmo cardiaco che ho registrato?,richiestaDatFreq
Qual è la mia media di pressione sanguigna della scorsa settimana?,richiestaMediaPress
Ho paura che la mia pressione alta possa causare un ictus.,pazienAllarmato
L'ipertensione ha conseguenze sui polmoni?,spiegazioni
"vorrei tanto medicare la ferita al braccio di mio figlio, potresti fornirmi dei consigli?",fuoriContMed
"Ho avuto un po’ di nausea e ho notato che la mia pressione sanguigna è bassa, cosa dovrei fare?",pazienAllarmato
quale è il tuo parco nazionale preferito?,fuoriCont
il mio battito cardiaco è 75 battiti al minuto.,inserDatiFreq
La mia pressione sanguigna è 125/80 e la mia frequenza cardiaca è 68.,inserDatiTot
