"""**Ultimi dati di pressione dell'ultima settimana:**

*   Oggi: 100 mmHg
*   Ieri: 105 mmHg
*   Settimana scorata: 102 mmHg
*   Ultimo mese corrispondente al mese attuale (di solito è il mese più caldo dell'anno): 104 mmHg

**Media di pressione dell'ultima settimana:**

*   Oggi: 100,5 mmHg (media)
*   Ieri: 105,2 mmHg (media)
*   Settimana scorata: 102,1 mmHg (media)
*   Ultimo mese corrispondente al mese attuale: 104,3 mmHg (media)

**Lista di dati di pressione dell'ultima settimana:**

*   Oggi: 100 mmHg
*   Ieri: 105 mmHg
*   Settimana scorata: 102 mmHg
*   Ultimo mese corrispondente al mese attuale: 104 mmHg""" "PRESSIONE 7 LISTA"
